trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,timepoint,travel_time_sec,distance_m,speed_kmph,hour,minute,stop_lat,stop_lon,stop_name,arrival_sec,next_arrival_sec,hour_of_day,service_id,direction_id,traffic_label
3112,0 days 06:58:31,0 days 06:58:51,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,6,58,28.643925,77.188416,Karol Bagh,25111.0,25249.0,6.0,weekday,,Light
3113,0 days 07:04:23,0 days 07:04:43,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,7,4,28.643925,77.188416,Karol Bagh,25463.0,25601.0,7.0,weekday,,Light
3114,0 days 07:10:15,0 days 07:10:35,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,7,10,28.643925,77.188416,Karol Bagh,25815.0,25953.0,7.0,weekday,,Light
3115,0 days 07:16:07,0 days 07:16:27,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,7,16,28.643925,77.188416,Karol Bagh,26167.0,26305.0,7.0,weekday,,Light
3116,0 days 07:21:59,0 days 07:22:19,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,7,22,28.643925,77.188416,Karol Bagh,26519.0,26657.0,7.0,weekday,,Light
3117,0 days 07:27:51,0 days 07:28:11,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,7,28,28.643925,77.188416,Karol Bagh,26871.0,27009.0,7.0,weekday,,Light
3118,0 days 07:33:43,0 days 07:34:03,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,7,34,28.643925,77.188416,Karol Bagh,27223.0,27361.0,7.0,weekday,,Light
3119,0 days 07:39:35,0 days 07:39:55,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,7,39,28.643925,77.188416,Karol Bagh,27575.0,27713.0,7.0,weekday,,Light
3120,0 days 07:45:27,0 days 07:45:47,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,7,45,28.643925,77.188416,Karol Bagh,27927.0,28065.0,7.0,weekday,,Light
3121,0 days 07:51:19,0 days 07:51:39,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,7,51,28.643925,77.188416,Karol Bagh,28279.0,28417.0,7.0,weekday,,Light
3122,0 days 07:57:11,0 days 07:57:31,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,7,57,28.643925,77.188416,Karol Bagh,28631.0,28769.0,7.0,weekday,,Light
3123,0 days 08:03:03,0 days 08:03:23,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,8,3,28.643925,77.188416,Karol Bagh,28983.0,29121.0,8.0,weekday,,Light
3124,0 days 08:08:55,0 days 08:09:15,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,8,9,28.643925,77.188416,Karol Bagh,29335.0,29473.0,8.0,weekday,,Light
3125,0 days 08:14:47,0 days 08:15:07,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,8,15,28.643925,77.188416,Karol Bagh,29687.0,29825.0,8.0,weekday,,Light
3126,0 days 08:20:39,0 days 08:20:59,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,8,20,28.643925,77.188416,Karol Bagh,30039.0,30177.0,8.0,weekday,,Light
3127,0 days 08:26:31,0 days 08:26:51,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,8,26,28.643925,77.188416,Karol Bagh,30391.0,30529.0,8.0,weekday,,Light
3128,0 days 08:32:23,0 days 08:32:43,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,8,32,28.643925,77.188416,Karol Bagh,30743.0,30881.0,8.0,weekday,,Light
3129,0 days 08:38:15,0 days 08:38:35,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,8,38,28.643925,77.188416,Karol Bagh,31095.0,31233.0,8.0,weekday,,Light
3130,0 days 08:44:07,0 days 08:44:27,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,8,44,28.643925,77.188416,Karol Bagh,31447.0,31585.0,8.0,weekday,,Light
3131,0 days 08:49:59,0 days 08:50:19,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,8,50,28.643925,77.188416,Karol Bagh,31799.0,31937.0,8.0,weekday,,Light
3132,0 days 08:55:51,0 days 08:56:11,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,8,56,28.643925,77.188416,Karol Bagh,32151.0,32289.0,8.0,weekday,,Light
3133,0 days 09:01:43,0 days 09:02:03,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,9,2,28.643925,77.188416,Karol Bagh,32503.0,32641.0,9.0,weekday,,Light
3134,0 days 09:07:09,0 days 09:07:29,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,9,7,28.643925,77.188416,Karol Bagh,32829.0,32967.0,9.0,weekday,,Light
3135,0 days 09:12:35,0 days 09:12:55,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,9,12,28.643925,77.188416,Karol Bagh,33155.0,33293.0,9.0,weekday,,Light
3136,0 days 09:18:01,0 days 09:18:21,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,9,18,28.643925,77.188416,Karol Bagh,33481.0,33619.0,9.0,weekday,,Light
3137,0 days 09:23:27,0 days 09:23:47,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,9,23,28.643925,77.188416,Karol Bagh,33807.0,33945.0,9.0,weekday,,Light
3138,0 days 09:28:53,0 days 09:29:13,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,9,29,28.643925,77.188416,Karol Bagh,34133.0,34271.0,9.0,weekday,,Light
3139,0 days 09:34:19,0 days 09:34:39,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,9,34,28.643925,77.188416,Karol Bagh,34459.0,34597.0,9.0,weekday,,Light
3140,0 days 09:39:45,0 days 09:40:05,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,9,40,28.643925,77.188416,Karol Bagh,34785.0,34923.0,9.0,weekday,,Light
3141,0 days 09:45:11,0 days 09:45:31,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,9,45,28.643925,77.188416,Karol Bagh,35111.0,35249.0,9.0,weekday,,Light
3142,0 days 09:50:37,0 days 09:50:57,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,9,50,28.643925,77.188416,Karol Bagh,35437.0,35575.0,9.0,weekday,,Light
3143,0 days 09:56:03,0 days 09:56:23,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,9,56,28.643925,77.188416,Karol Bagh,35763.0,35901.0,9.0,weekday,,Light
3144,0 days 10:01:29,0 days 10:01:49,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,10,1,28.643925,77.188416,Karol Bagh,36089.0,36227.0,10.0,weekday,,Light
3145,0 days 10:06:55,0 days 10:07:15,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,10,7,28.643925,77.188416,Karol Bagh,36415.0,36553.0,10.0,weekday,,Light
3146,0 days 10:12:21,0 days 10:12:41,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,10,12,28.643925,77.188416,Karol Bagh,36741.0,36879.0,10.0,weekday,,Light
3147,0 days 10:17:47,0 days 10:18:07,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,10,18,28.643925,77.188416,Karol Bagh,37067.0,37205.0,10.0,weekday,,Light
3148,0 days 10:23:13,0 days 10:23:33,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,10,23,28.643925,77.188416,Karol Bagh,37393.0,37531.0,10.0,weekday,,Light
